Date,Customer_ID,Region,Category,Product,Quantity,Unit_Price,Discount,Revenue,Cost,Profit
2025-01-01 00:00:00.000000000,CUST1088,West,Beverages,Mineral Water,8,40.5,0.05,307.77,194.64,113.13
2025-01-01 07:17:09.858215179,CUST1015,East,Household,Floor Cleaner,3,137.37,0.05,391.5,254.75,136.76
2025-01-01 14:34:19.716430358,CUST1084,West,Beverages,Juice,3,35.08,0.0,105.25,67.52,37.73
2025-01-01 21:51:29.574645537,CUST1054,Central,Beverages,Juice,6,165.94,0.0,995.67,737.07,258.6
2025-01-02 05:08:39.432860717,CUST1024,South,Household,Floor Cleaner,2,303.36,0.05,576.38,425.79,150.59
2025-01-02 12:25:49.291075896,CUST1163,East,Household,Tissue,2,51.66,0.1,92.98,72.11,20.87
2025-01-02 19:42:59.149291075,CUST1037,East,Personal Care,Face Wash,6,154.1,0.0,924.63,709.32,215.3
2025-01-03 03:00:09.007506255,CUST1179,North,Snacks,Namkeen,11,53.29,0.0,586.18,420.09,166.09
2025-01-03 10:17:18.865721434,CUST1134,West,Beverages,Juice,4,60.46,0.1,217.67,173.65,44.02
2025-01-03 17:34:28.723936613,CUST1121,West,Personal Care,Detergent Bar,7,129.42,0.0,905.93,690.77,215.17
2025-01-04 00:51:38.582151793,CUST1113,North,Beverages,Soft Drink,5,43.58,0.0,217.9,168.8,49.1
2025-01-04 08:08:48.440366972,CUST1129,East,Grocery,Cooking Oil,4,243.87,0.0,975.49,615.85,359.64
2025-01-04 15:25:58.298582151,CUST1139,North,Personal Care,Face Wash,7,227.98,0.05,1516.05,1151.25,364.8
2025-01-04 22:43:08.156797331,CUST1052,North,Grocery,Sugar,5,56.72,0.0,283.59,216.08,67.51
2025-01-05 06:00:18.015012510,CUST1113,South,Personal Care,Shampoo,7,95.57,0.15,568.62,417.17,151.45
2025-01-05 13:17:27.873227689,CUST1161,West,Household,Tissue,10,304.0,0.1,2735.99,1939.79,796.19
2025-01-05 20:34:37.731442869,CUST1169,West,Grocery,Cooking Oil,6,81.6,0.05,465.14,355.1,110.04
2025-01-06 03:51:47.589658048,CUST1119,Central,Personal Care,Soap,9,226.05,0.0,2034.44,1489.09,545.35
2025-01-06 11:08:57.447873227,CUST1172,West,Snacks,Namkeen,1,49.92,0.05,47.43,29.86,17.57
2025-01-06 18:26:07.306088407,CUST1160,North,Beverages,Mineral Water,2,172.73,0.15,293.63,186.92,106.71
2025-01-07 01:43:17.164303586,CUST1017,North,Beverages,Coffee,9,40.06,0.0,360.56,293.14,67.42
2025-01-07 09:00:27.022518765,CUST1008,West,Grocery,Pulses,5,212.11,0.05,1007.52,667.73,339.8
2025-01-07 16:17:36.880733945,CUST1015,East,Household,Tissue,1,308.12,0.0,308.12,193.67,114.45
2025-01-07 23:34:46.738949124,CUST1168,West,Grocery,Rice,18,151.33,0.0,2723.99,2108.07,615.91
2025-01-08 06:51:56.597164303,CUST1129,South,Grocery,Wheat Flour,1,151.04,0.1,135.94,105.09,30.84
2025-01-08 14:09:06.455379482,CUST1093,East,Household,Floor Cleaner,6,205.01,0.05,1168.55,836.5,332.05
2025-01-08 21:26:16.313594662,CUST1034,West,Grocery,Sugar,4,241.56,0.05,917.94,697.38,220.56
2025-01-09 04:43:26.171809841,CUST1160,East,Beverages,Coffee,17,108.6,0.1,1661.63,1347.23,314.41
2025-01-09 12:00:36.030025020,CUST1095,South,Personal Care,Detergent Bar,14,289.72,0.0,4056.02,2576.62,1479.39
2025-01-09 19:17:45.888240200,CUST1114,Central,Grocery,Wheat Flour,1,69.19,0.0,69.19,44.69,24.49
2025-01-10 02:34:55.746455379,CUST1151,Central,Household,Tissue,7,88.31,0.0,618.15,462.2,155.95
2025-01-10 09:52:05.604670558,CUST1100,West,Grocery,Pulses,5,137.68,0.0,688.38,441.94,246.44
2025-01-10 17:09:15.462885738,CUST1053,North,Household,Laundry Detergent,4,137.96,0.0,551.85,423.8,128.06
2025-01-11 00:26:25.321100917,CUST1074,South,Grocery,Pulses,3,63.6,0.0,190.8,124.3,66.5
2025-01-11 07:43:35.179316096,CUST1086,West,Snacks,Cookies,4,39.06,0.05,148.42,120.21,28.22
2025-01-11 15:00:45.037531276,CUST1126,East,Grocery,Rice,11,183.59,0.0,2019.48,1398.81,620.68
